filename,text,predicted_probability,predicted_class,true_class
39140597_2176100432679302_6001426474932895744_n.jpg,amaravatiindiancuisine denver weekendspeciallunch pavbhaji,0.4554002,0,0
38992941_305249336720648_647489851997814784_n.jpg,pavbhaji cookedbyme,0.52759343,1,1
39245148_522742524814674_5437082448141746176_n.jpg,street style pavbhaji made home taste bhi health bhi follow stay updated latest updates follow nirvana taste pavbhaji homemade healthy wheatbun amulbutter yummy weekend sundayvibes foodie chandigarhfoodblogger foodporn foodgasm foodstagram instagood instafood foodlover l4l follow4follow,0.9977397,1,1
39368633_1890062257728128_5804901759449038848_n.jpg,simplesaturday cravings bun maska chai pavbhaji need certain mood classics agree chaayos mall india noida tag chai gang click talkingstreet tsnoida noidafoodies delhigram sodelhi foodmaniac delhidiaries foodiesofindia instafoodies pavbhaji bhajipav bunmaska malldiaries chaitime,0.41004926,0,0
38803948_2181725378761283_5874634801222254592_n.jpg,pavbhaji fondue laa unico mukund nagar swargate pune price rs 390 average cost rs 1000 two like follow us facebook updates tag us get featured follow tastypune tasty pune pune punefoodblogger punefoodie puneri punekar puneinstagrammers pune ig punediaries punediaries punefood puneclickarts punecity punenightlife puneblogger punefashionblogger punefashion punepartypeople mumbaiblogger sukanta sukantathali pavbhaji laaunico swargate,0.028506488,0,0
39132174_278197792697829_1913994408152268800_n.jpg,pavbhaji love hit like tag friends follow follow follow appetizing food updates pavbhaji like4like folow4folow foodieme instafood instagood instalike instagram food foodgasm foodporn foodisallyouneed foodphotography foodphoto loveforfood dailyfoodfeed foodmaniac foodmaniacindia foodieindian foodforlife lifesgood foodforthought feistyfoody foodislove crazyforfood foodblogger kanpur,0.9808127,1,1
38854436_158124208394414_3232587163736473600_n.jpg,smoothies soo good addictive fight even best friends still tried anything surely missing lot things wait come enjoy favorite smoothies waffles many amazingly delicious bubble waffles bubble tea today kyuki acche kaamo deri nahi kiya karte hai foodblogger foodie foodphotography mumbaifoodies zingyzest delhifoodies saadidilli dillifoodies indianfood saaturrdaayy delhifood nagpurfood kolkatafoodies pavbhaji buzzfeast foodporn buzzfeedfood nagpur indianstreetfood pune punefoodies puneri punefoodbloggers,0.99657696,1,0
39917667_258495538127268_7746174793388392448_n.jpg,weekends incomplete without ur favorite comfort food home cooked pavbhaji lunch today pavbhaji gharkakhana indianfood indianfoodtales indianrecipe indianstreetfood indianfoodblog indianfoodblogger indianfoodies indianfoodie indiaeats mumbaifood mumbaifoodie mumbaieats mumbaifoodlovers mumbaifoodies mumbaifoodicious mumbaifoodblog mumbaifoodblogger mumbaistreetfood foodbloggermumbai foodbloggerindia foodblogfeed food foodgram tasty,0.8130782,1,1
39378599_1957526367633568_739645595173519360_n.jpg,pavbhaji likeforlikes likelikelike likeforlikealways flowforflow pavbhaji mumbaifood delhistreetfood eveningfood,0.55216163,1,1
39348158_519880011793360_8651080104362901504_n.jpg,happy rakshabandhan happyrakshabandhan rakshabandhan rakshabandhanspecial dryfruits foodlovers vadapav panipuri samosa gulabjamun kajukatli bhelpuri bhel kachori chivda pavbhaji pizza masaladosa idli idlisambhar jilebi rasgulla rasmalai bollywood dost breadpakoda bhaji bhaje dabeli dahipuri sweets rakhi,0.00083759427,0,0
